site_code,outcome,n,prop
GR,Intermediate,727,0.42739564961787185
GR,Above threshold,498,0.2927689594356261
GR,Carrying capacity,476,0.27983539094650206
RR,Intermediate,903,0.5305522914218567
RR,Above threshold,498,0.2925969447708578
RR,Carrying capacity,301,0.17685076380728554
TW,Endemic,204,0.12215568862275449
TW,Intermediate,714,0.4275449101796407
TW,Above threshold,396,0.237125748502994
TW,Carrying capacity,356,0.21317365269461078
AL,Endemic,687,0.41992665036674814
AL,Intermediate,949,0.5800733496332519
SI,Endemic,1092,0.6457717327025428
SI,Intermediate,588,0.34772324068598465
SI,Above threshold,10,0.0059136605558840925
SI,Carrying capacity,1,5.913660555884093e-4
TB,Endemic,1320,0.825
TB,Intermediate,280,0.175
