site_code,site,site_type,transect,HC,TUR,MAC,OB,AB,UKN
AL,Aow Leuk,Control,AL1,26.96,51.76,1.8399999999999999,2.2399999999999998,16.32,0.88
AL,Aow Leuk,Control,AL2,22.017614091273018,47.87830264211369,0.4803843074459567,9.607686148919136,19.855884707766215,0.16012810248198558
AL,Aow Leuk,Control,AL3,31.11467522052927,30.152365677626303,0.40096230954290296,0.5613472333600642,37.77064955894146,0
AL,Aow Leuk,Control,AL4,22.248995983935743,21.606425702811244,0.08032128514056225,0.08032128514056225,55.983935742971894,0
AL,Aow Leuk,Control,AL5,57.99999999999999,22,0.2,0.2,19.6,0
AL,Aow Leuk,Control,AL6,25.759999999999998,42.08,4.96,6.800000000000001,20.4,0
AL,Aow Leuk,Control,AL7,30.8,40.08,0.64,5.04,23.44,0
AL,Aow Leuk,Control,AL8,56.592592592592595,17.037037037037038,0,2.074074074074074,24.296296296296298,0
AL,Aow Leuk,Control,AL9,27.884615384615387,32.8525641025641,0.08012820512820512,16.826923076923077,13.62179487179487,8.733974358974358
SI,Shark Island,Control,SI1,75.10008006405124,20.816653322658127,1.0408326661329064,1.4411529223378703,1.6012810248198557,0
SI,Shark Island,Control,SI2,44.32,38.96,1.76,9.04,3.2,2.7199999999999998
SI,Shark Island,Control,SI3,69.6,6.88,0.88,2.48,20.16,0
SI,Shark Island,Control,SI4,57.856567284448026,12.97340854149879,0.40290088638195,2.4174053182917,26.349717969379533,0
SI,Shark Island,Control,SI5,72.19983883964545,20.1450443190975,1.36986301369863,3.8678485092667207,2.3368251410153102,0.08058017727639001
SI,Shark Island,Control,SI6,81.28,15.040000000000001,1.92,1.1199999999999999,0.48,0.16
SI,Shark Island,Control,SI7,44.96,18.64,3.84,3.36,29.2,0
TB,Tanote Bay,Control,TB1,66.64,21.36,0.16,0.64,10.96,0.24
TB,Tanote Bay,Control,TB2,55.084067253803035,30.34427542033627,1.3610888710968776,1.2810248198558847,11.128903122497999,0.8006405124099278
TB,Tanote Bay,Control,TB3,55.2,17.44,2.64,2.08,22.24,0.4
TB,Tanote Bay,Control,TB4,46.036829463570854,21.617293835068054,2.481985588470777,3.4427542033626897,26.10088070456365,0.32025620496397117
TB,Tanote Bay,Control,TB5,51.64658634538153,11.887550200803213,3.775100401606426,3.93574297188755,28.755020080321287,0
TB,Tanote Bay,Control,TB6,35.50488599348534,13.517915309446254,2.5244299674267103,6.921824104234528,41.36807817589577,0.16286644951140067
TB,Tanote Bay,Control,TB7,48.31460674157304,6.982343499197431,0.16051364365971107,10.43338683788122,32.90529695024077,1.2038523274478332
GR,Green Rock,High Density,GR1,39.519999999999996,47.44,1.44,6.32,5.12,0.16
GR,Green Rock,High Density,GR2,27.200000000000003,54.72,0.72,3.52,13.76,0.08
GR,Green Rock,High Density,GR3,45.28,34.4,2.2399999999999998,2.48,14.719999999999999,0.88
GR,Green Rock,High Density,GR4,58.08,28.560000000000002,2.56,2.56,7.4399999999999995,0.8
GR,Green Rock,High Density,GR5,29.15601023017903,23.614663256606992,4.0068201193520885,7.757885763000852,35.464620630861035,0
GR,Green Rock,High Density,GR6,20.394736842105264,9.12828947368421,2.138157894736842,9.12828947368421,59.210526315789465,0
GR,Green Rock,High Density,GR7,26.380873866446823,7.5845012366034625,3.3800494641384993,9.810387469084914,52.8441879637263,0
GR,Green Rock,High Density,GR8,60.21052631578947,14.631578947368421,6.842105263157896,5.157894736842105,12.631578947368421,0.5263157894736842
RR,Red Rock,High Density,RR1,48.4,38.879999999999995,6.88,2.88,2.4,0.5599999999999999
RR,Red Rock,High Density,RR2,55.84,36.08,3.2,1.76,2.88,0.24
RR,Red Rock,High Density,RR3,46.88,40.88,2.96,3.36,5.4399999999999995,0.48
RR,Red Rock,High Density,RR4,52.44195356285029,37.389911929543636,3.522818254603683,4.483586869495596,1.6813450760608486,0.4803843074459567
RR,Red Rock,High Density,RR5,39.55659276546091,5.950991831971995,1.8669778296382729,7.8179696616102685,44.807467911318554,0
RR,Red Rock,High Density,RR6,50.12244897959184,35.3469387755102,1.5510204081632653,7.102040816326531,5.877551020408163,0
TW,Twins,High Density,TW1,51.24099279423538,27.381905524419537,1.200960768614892,5.764611689351481,12.489991993594876,1.921537229783827
TW,Twins,High Density,TW2,31.916599839615078,40.577385725741784,2.0048115477145148,3.6888532477947074,20.850040096230956,0.9623095429029671
TW,Twins,High Density,TW3,36.559999999999995,44.4,0.96,3.6799999999999997,14.000000000000002,0.4
TW,Twins,High Density,TW4,26.479999999999997,56.00000000000001,1.28,2.4,13.84,0
TW,Twins,High Density,TW5,42.38782051282051,16.907051282051285,0.641025641025641,6.570512820512821,33.41346153846153,0.08012820512820512
